"CINEMA_NAME","CINEMA_RATING","CINEMA_POPULARITY","CINEMA_LENGTH","CINEMA_NUMBER_OF_REVIEWS"
"The Shawshank Redemption",9.3,0.014,"142","2700000"
"The Godfather",9.2,0.012,"175","1900000"
"The Dark Knight",9,0.021,"152","2700000"
"The Godfather Part II",9,0.057,"202","1300000"
"12 Angry Men",9,0.039,"96","805000"
"Schindler's List",9,0.039,"195","1400000"
"The Lord of the Rings: The Return of the King",9,0.049,"201","1900000"
"Pulp Fiction",8.9,0.017,"154","2100000"
"The Lord of the Rings: The Fellowship of the Ring",8.8,0.027,"178","1900000"
"Il buono, il brutto, il cattivo",8.8,0.075,"161","772000"
"Forrest Gump",8.8,0.032,"142","2100000"
"Fight Club",8.8,0.024,"139","2200000"
"The Lord of the Rings: The Two Towers",8.8,0.103,"179","1700000"
"Inception",8.8,0.028,"148","2400000"
"The Empire Strikes Back",8.7,0.151,"124","1300000"
"The Matrix",8.7,0.025,"136","1900000"
"GoodFellas",8.7,0.031,"145","1200000"
"One Flew Over the Cuckoo's Nest",8.7,0.048,"133","1e+06"
"Se7en",8.6,0.043,"127","1700000"
"It's a Wonderful Life",8.6,0.306,"130","469000"
"Shichinin no samurai",8.6,0.268,"207","351000"
"The Silence of the Lambs",8.6,0.044,"118","1500000"
"Saving Private Ryan",8.6,0.072,"169","1400000"
"Cidade de Deus",8.6,0.099,"130","766000"
"Interstellar",8.6,0.015,"169","1900000"
"La vita è bella",8.6,0.113,"116","706000"
"The Green Mile",8.6,0.053,"189","1300000"
"Star Wars",8.6,0.056,"121","1400000"
"Terminator 2: Judgment Day",8.6,0.058,"137","1100000"
"Back to the Future",8.5,0.058,"116","1200000"
"Spirited Away",8.6,0.075,"125","781000"
"The Pianist",8.5,0.101,"150","848000"
"Psycho",8.5,0.059,"109","682000"
"Gisaengchung",8.5,0.031,"132","838000"
"Léon",8.5,0.057,"110","1200000"
"The Lion King",8.5,0.079,"88","1100000"
"Gladiator",8.5,0.037,"155","1500000"
"American History X",8.5,0.1,"119","1100000"
"The Departed",8.5,0.035,"151","1300000"
"Whiplash",8.5,0.037,"106","891000"
"The Prestige",8.5,0.043,"130","1400000"
"The Usual Suspects",8.5,0.098,"106","1100000"
"Casablanca",8.5,0.175,"102","580000"
"Hotaru no haka",8.5,0.252,"89","284000"
"Seppuku",8.6,0.583,"133","60000"
"Intouchables",8.5,0.148,"112","874000"
"Modern Times",8.5,0.991,"87","247000"
"C'era una volta il West",8.5,0.131,"165","335000"
"Nuovo Cinema Paradiso",8.5,0.411,"155","266000"
"Rear Window",8.5,0.303,"112","499000"
