"CINEMA_NAME","CINEMA_RATING","CINEMA_POPULARITY","CINEMA_LENGTH","CINEMA_NUMBER_OF_REVIEWS"
"The Shawshank Redemption","9.3","65","2h 22m","2.7M"
"The Godfather","9.2","59","2h 55m","1.9M"
"The Dark Knight","9.0","99","2h 32m","2.7M"
"The Godfather Part II","9.0","267","3h 22m","1.3M"
"12 Angry Men","9.0","185","1h 36m","805K"
"Schindler's List","9.0","182","3h 15m","1.4M"
"The Lord of the Rings: The Return of the King","9.0","232","3h 21m","1.9M"
"Pulp Fiction","8.9","80","2h 34m","2.1M"
"The Lord of the Rings: The Fellowship of the Ring","8.8","127","2h 58m","1.9M"
"Il buono, il brutto, il cattivo","8.8","353","2h 41m","772K"
"Forrest Gump","8.8","151","2h 22m","2.1M"
"Fight Club","8.8","113","2h 19m","2.2M"
"The Lord of the Rings: The Two Towers","8.8","482","2h 59m","1.7M"
"Inception","8.8","133","2h 28m","2.4M"
"The Empire Strikes Back","8.7","709","2h 4m","1.3M"
"The Matrix","8.7","117","2h 16m","1.9M"
"GoodFellas","8.7","148","2h 25m","1.2M"
"One Flew Over the Cuckoo's Nest","8.7","228","2h 13m","1M"
"Se7en","8.6","202","2h 7m","1.7M"
"It's a Wonderful Life","8.6","1,435","2h 10m","469K"
"Shichinin no samurai","8.6","1,254","3h 27m","351K"
"The Silence of the Lambs","8.6","208","1h 58m","1.5M"
"Saving Private Ryan","8.6","338","2h 49m","1.4M"
"Cidade de Deus","8.6","467","2h 10m","766K"
"Interstellar","8.6","73","2h 49m","1.9M"
"La vita è bella","8.6","529","1h 56m","706K"
"The Green Mile","8.6","250","3h 9m","1.3M"
"Star Wars","8.6","261","2h 1m","1.4M"
"Terminator 2: Judgment Day","8.6","272","2h 17m","1.1M"
"Back to the Future","8.5","274","1h 56m","1.2M"
"Spirited Away","8.6","352","2h 5m","781K"
"The Pianist","8.5","474","2h 30m","848K"
"Psycho","8.5","277","1h 49m","682K"
"Gisaengchung","8.5","146","2h 12m","838K"
"Léon","8.5","269","1h 50m","1.2M"
"The Lion King","8.5","371","1h 28m","1.1M"
"Gladiator","8.5","172","2h 35m","1.5M"
"American History X","8.5","468","1h 59m","1.1M"
